"","Gene.Set","Gene.Set.ID","Gene.Set.Name","Cluster","FDR","Num Cluster Genes","Gene.Set.Size","Total Num Cluster Genes","Num Sig Clusters","All Sig Clusters"
"74","SLIM2 GO CC","GO:0005829","cytosol","Complex-6",1.65e-11,35,790,149,9,"Complex-10, Complex-5, Complex-6, Complex-7, Complex-8, LinearUp-1, LinearUp-2, LinearUp-5, LinearUp-7"
"75","FlyBase Gene Group","FBgg0001715","ENZYMES","Complex-10",3.78e-11,52,3610,78,8,"Complex-10, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearUp-2"
"76","FlyBase Gene Group","FBgg0001387","MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS","LinearDown-6",3.96e-11,20,31,1320,2,"Complex-12, LinearDown-6"
"77","SLIM2 GO BP","GO:0006091","generation of precursor metabolites and energy","LinearDown-6",1.11e-10,57,218,1320,3,"Complex-12, Complex-3, LinearDown-6"
"78","REACTOME pathway","R-DME-199977","ER to Golgi Anterograde Transport","LinearUp-7",1.33e-10,15,127,130,1,"LinearUp-7"
"79","REACTOME pathway","R-DME-948021","Transport to the Golgi and subsequent modification","LinearUp-7",1.33e-10,16,148,130,1,"LinearUp-7"
"80","FlyBase Gene Group","FBgg0001836","MITOCHONDRIAL COMPLEX I","LinearDown-6",1.38e-10,23,43,1320,2,"Complex-12, LinearDown-6"
"81","REACTOME pathway","R-DME-72695","Formation of the ternary complex, and subsequently, the 43S complex","Complex-6",1.92e-10,11,49,149,2,"Complex-6, LinearUp-1"
"82","SLIM2 GO CC","GO:0031012","extracellular matrix","Complex-12",2.05e-10,22,219,219,2,"Complex-12, LinearDown-6"
"83","FlyBase Gene Group","FBgg0001381","WIRINS","LinearDown-6",2.4e-10,21,37,1320,1,"LinearDown-6"
"84","DRSC GLAD Gene Group","GLAD:24593","Metabolic vs2","Complex-10",3.14e-10,39,2313,78,10,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-4, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"85","SLIM2 GO CC","GO:0030135","coated vesicle","LinearUp-7",5.7e-10,11,70,130,2,"LinearUp-7, LinearUp-8"
"86","FlyBase Gene Group","FBgg0000200","CYTOPLASMIC LARGE RIBOSOMAL PROTEINS","Complex-6",7.67e-10,11,54,149,3,"Complex-6, LinearUp-1, LinearUp-2"
"87","SLIM2 GO BP","GO:0016192","vesicle-mediated transport","LinearUp-7",1.32e-09,25,510,130,5,"LinearDown-4, LinearDown-6, LinearUp-5, LinearUp-7, LinearUp-8"
"88","REACTOME pathway","R-DME-72702","Ribosomal scanning and start codon recognition","Complex-6",1.53e-09,11,59,149,2,"Complex-6, LinearUp-1"
"89","SLIM2 GO BP","GO:0007399","nervous system development","LinearDown-4",1.6e-09,56,1112,259,5,"LinearDown-3, LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"90","REACTOME pathway","R-DME-72649","Translation initiation complex formation","Complex-6",1.72e-09,11,60,149,2,"Complex-6, LinearUp-1"
"91","FlyBase Gene Group","FBgg0001837","MITOCHONDRIAL COMPLEX I - TESTIS-SPECIFIC VARIANT","LinearDown-6",1.82e-09,22,44,1320,2,"Complex-12, LinearDown-6"
"92","REACTOME pathway","R-DME-72662","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","Complex-6",1.93e-09,11,61,149,2,"Complex-6, LinearUp-1"
"93","DRSC GLAD Gene Group","GLAD:24584","Chaperone and heat shock proteins","Complex-14",1.98e-09,12,144,84,3,"Complex-14, LinearUp-5, LinearUp-7"
"94","DRSC GLAD Gene Group","GLAD:24593","Metabolic vs2","LinearDown-6",2.24e-09,312,2313,1320,10,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-4, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"95","SLIM2 GO BP","GO:0006281","DNA repair","LinearUp-3",2.82e-09,22,179,286,2,"LinearUp-2, LinearUp-3"
"96","SLIM2 GO BP","GO:0006950","response to stress","LinearUp-5",3.05e-09,115,1197,699,5,"LinearUp-2, LinearUp-3, LinearUp-5, LinearUp-7, LinearUp-8"
"97","SLIM2 GO BP","GO:0060429","epithelium development","LinearUp-5",3.05e-09,99,970,699,3,"Complex-8, LinearUp-2, LinearUp-5"
"98","SLIM2 GO BP","GO:0009605","response to external stimulus","LinearUp-5",3.63e-09,100,995,699,5,"Complex-11, LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"99","SLIM2 GO BP","GO:0006457","protein folding","LinearUp-7",3.94e-09,13,118,130,2,"Complex-14, LinearUp-7"
"100","FlyBase Gene Group","FBgg0000487","MITOCHONDRIAL COMPLEX I SUBUNITS","LinearDown-6",4.9e-09,23,50,1320,2,"Complex-12, LinearDown-6"
"101","SLIM2 GO BP","GO:0006950","response to stress","LinearUp-2",5.37e-09,80,1197,421,5,"LinearUp-2, LinearUp-3, LinearUp-5, LinearUp-7, LinearUp-8"
"102","REACTOME pathway","R-DME-6807878","COPI-mediated anterograde transport","LinearUp-7",5.47e-09,11,71,130,1,"LinearUp-7"
"103","SLIM2 GO BP","GO:0042335","cuticle development","Complex-12",6.76e-09,21,223,219,1,"Complex-12"
"104","REACTOME pathway","R-DME-597592","Post-translational protein modification","LinearUp-7",8.06e-09,28,705,130,2,"LinearUp-1, LinearUp-7"
"105","REACTOME pathway","R-DME-392499","Metabolism of proteins","LinearUp-7",8.1e-09,33,978,130,3,"Complex-6, LinearUp-1, LinearUp-7"
"106","SLIM2 GO CC","GO:0005794","Golgi apparatus","LinearUp-7",8.14e-09,19,353,130,1,"LinearUp-7"
"107","SLIM2 GO MF","GO:0003723","RNA binding","LinearUp-4",3.33e-08,24,620,119,2,"LinearUp-4, LinearUp-6"
"108","DRSC GLAD Gene Group","GLAD:24593","Metabolic vs2","Complex-3",7.84e-08,16,2313,21,10,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-4, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"109","FlyBase Gene Group","FBgg0000721","BOMANINS","LinearUp-5",1.58e-07,9,12,699,1,"LinearUp-5"
"110","FlyBase Gene Group","FBgg0001101","ANTIMICROBIAL PEPTIDES","LinearUp-5",1.58e-07,12,23,699,2,"LinearUp-5, LinearUp-8"
"111","SLIM2 GO CC","GO:0005886","plasma membrane","LinearDown-4",1.65e-07,55,1267,259,4,"Complex-12, LinearDown-3, LinearDown-4, LinearDown-6"
"112","REACTOME pathway","R-DME-199991","Membrane Trafficking","LinearUp-7",2.14e-07,19,384,130,1,"LinearUp-7"
"113","REACTOME pathway","R-DME-5653656","Vesicle-mediated transport","LinearUp-7",2.14e-07,19,386,130,1,"LinearUp-7"
"114","REACTOME pathway","R-DME-6811434","COPI-dependent Golgi-to-ER retrograde traffic","LinearUp-7",2.14e-07,9,61,130,1,"LinearUp-7"
"115","REACTOME pathway","R-DME-388396","GPCR downstream signalling","LinearDown-6",2.41e-07,33,108,1320,2,"LinearDown-4, LinearDown-6"
"116","FlyBase Gene Group","FBgg0001643","CHAPERONES AND CO-CHAPERONES","LinearUp-7",2.56e-07,11,93,130,1,"LinearUp-7"
"117","REACTOME pathway","R-DME-418594","G alpha (i) signalling events","LinearDown-6",2.61e-07,22,54,1320,1,"LinearDown-6"
"118","DRSC GLAD Gene Group","GLAD:24593","Metabolic vs2","Complex-6",2.99e-07,54,2313,149,10,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-4, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"119","FlyBase Gene Group","FBgg0000923","OXIDOREDUCTASES","Complex-10",3.34e-07,18,589,78,6,"Complex-10, Complex-2, Complex-3, Complex-6, Complex-9, LinearDown-1"
"120","REACTOME pathway","R-DME-1430728","Metabolism","Complex-10",3.45e-07,26,1212,78,11,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-4, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6, LinearUp-1"
"121","DRSC GLAD Gene Group","GLAD:24584","Chaperone and heat shock proteins","LinearUp-7",3.78e-07,12,144,130,3,"Complex-14, LinearUp-5, LinearUp-7"
"122","SLIM2 GO BP","GO:0007155","cell adhesion","LinearDown-6",4.17e-07,48,209,1320,1,"LinearDown-6"
"123","REACTOME pathway","R-DME-6799198","Complex I biogenesis","LinearDown-6",4.31e-07,21,51,1320,2,"Complex-12, LinearDown-6"
"124","REACTOME pathway","R-DME-8953854","Metabolism of RNA","Complex-6",4.69e-07,22,477,149,4,"Complex-6, LinearUp-1, LinearUp-3, LinearUp-4"
"125","DRSC GLAD Gene Group","GLAD:24592","Metabolic vs1","Complex-7",4.7e-07,26,1657,66,8,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-6"
"126","SLIM2 GO BP","GO:0007186","G protein-coupled receptor signaling pathway","LinearDown-6",4.96e-07,49,218,1320,3,"Complex-11, LinearDown-4, LinearDown-6"
"127","SLIM2 GO MF","GO:0016491","oxidoreductase activity","Complex-10",5.28e-07,18,647,78,9,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"128","FlyBase Gene Group","FBgg0000529","DEFECTIVE PROBOSCIS EXTENSION RESPONSE","LinearDown-6",6.04e-07,13,21,1320,1,"LinearDown-6"
"129","FlyBase Gene Group","FBgg0001847","MITOCHONDRIAL COMPLEX IV","LinearDown-6",6.04e-07,11,15,1320,1,"LinearDown-6"
"130","FlyBase Gene Group","FBgg0000056","INTRACELLULAR TRANSPORT COAT, SCAFFOLD AND ADAPTOR PROTEINS","LinearUp-7",6.67e-07,10,84,130,2,"LinearUp-5, LinearUp-7"
"131","FlyBase Gene Group","FBgg0001743","ATP-DEPENDENT PROTEIN FOLDING CHAPERONES","LinearUp-7",6.67e-07,7,30,130,2,"LinearUp-5, LinearUp-7"
"132","DRSC GLAD Gene Group","GLAD:24595","Mitochondrial","Complex-6",7e-07,31,973,149,8,"Complex-12, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"133","SLIM2 GO BP","GO:0006629","lipid metabolic process","Complex-7",7.01e-07,15,491,66,2,"Complex-7, LinearUp-2"
"134","SLIM2 GO BP","GO:0042254","ribosome biogenesis","LinearUp-1",7.12e-07,25,206,438,4,"LinearUp-1, LinearUp-2, LinearUp-4, LinearUp-6"
"135","REACTOME pathway","R-DME-1169091","Activation of NF-kappaB in B cells","LinearUp-1",7.47e-07,13,55,438,1,"LinearUp-1"
"136","FlyBase Gene Group","FBgg0000686","SOLUTE CARRIER FAMILY","LinearDown-6",7.51e-07,73,375,1320,2,"Complex-12, LinearDown-6"
"137","DRSC GLAD Gene Group","GLAD:24592","Metabolic vs1","Complex-3",8.96e-07,13,1657,21,8,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-6"
"138","DRSC GLAD Gene Group","GLAD:24593","Metabolic vs2","Complex-12",9.21e-07,70,2313,219,10,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-4, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"139","DRSC GLAD Gene Group","GLAD:24593","Metabolic vs2","Complex-7",9.39e-07,30,2313,66,10,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-4, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"140","SLIM2 GO CC","GO:0045202","synapse","LinearDown-4",9.83e-07,22,301,259,3,"LinearDown-3, LinearDown-4, LinearDown-6"
"141","REACTOME pathway","R-DME-372790","Signaling by GPCR","LinearDown-6",9.85e-07,36,132,1320,2,"LinearDown-4, LinearDown-6"
"142","SLIM2 GO BP","GO:0030154","cell differentiation","LinearUp-5",1.11e-06,137,1680,699,4,"LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"143","DRSC GLAD Gene Group","GLAD:24592","Metabolic vs1","Complex-6",1.12e-06,42,1657,149,8,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-6"
"144","REACTOME pathway","R-DME-2871837","FCERI mediated NF-kB activation","LinearUp-1",1.12e-06,13,57,438,1,"LinearUp-1"
"145","FlyBase Gene Group","FBgg0001497","SPERM LEUCYL AMINOPEPTIDASES","Complex-13",1.4e-06,4,8,56,1,"Complex-13"
"146","REACTOME pathway","R-DME-983712","Ion channel transport","LinearDown-6",1.53e-06,25,74,1320,1,"LinearDown-6"
"147","REACTOME pathway","R-DME-202424","Downstream TCR signaling","LinearUp-1",1.65e-06,13,59,438,1,"LinearUp-1"
"148","SLIM2 GO BP","GO:0006955","immune response","LinearUp-5",1.85e-06,38,287,699,3,"LinearUp-2, LinearUp-5, LinearUp-8"
"149","SLIM2 GO BP","GO:0030036","actin cytoskeleton organization","LinearUp-5",1.85e-06,38,285,699,3,"LinearDown-6, LinearUp-2, LinearUp-5"
"150","REACTOME pathway","R-DME-8953854","Metabolism of RNA","LinearUp-4",1.93e-06,19,477,119,4,"Complex-6, LinearUp-1, LinearUp-3, LinearUp-4"
"151","SLIM2 GO BP","GO:0009306","protein secretion","LinearUp-7",1.97e-06,9,81,130,1,"LinearUp-7"
"152","FlyBase Gene Group","FBgg0001521","PEPTIDASE FAMILY M17","Complex-13",2.08e-06,4,10,56,1,"Complex-13"
"153","SLIM2 GO BP","GO:0035556","intracellular signal transduction","LinearDown-4",2.41e-06,33,625,259,2,"LinearDown-4, LinearDown-6"
"154","SLIM2 GO BP","GO:0042221","response to chemical","LinearDown-4",2.41e-06,49,1159,259,5,"LinearDown-3, LinearDown-4, LinearDown-6, LinearUp-2, LinearUp-5"
"155","SLIM2 GO BP","GO:0050808","synapse organization","LinearDown-4",2.41e-06,22,295,259,3,"LinearDown-3, LinearDown-4, LinearDown-6"
"156","SLIM2 GO BP","GO:0050890","cognition","LinearDown-4",2.41e-06,16,162,259,3,"LinearDown-3, LinearDown-4, LinearDown-6"
"157","REACTOME pathway","R-DME-1168372","Downstream signaling events of B Cell Receptor (BCR)","LinearUp-1",2.61e-06,13,62,438,1,"LinearUp-1"
"158","REACTOME pathway","R-DME-5607761","Dectin-1 mediated noncanonical NF-kB signaling","LinearUp-1",2.61e-06,12,52,438,1,"LinearUp-1"
"159","REACTOME pathway","R-DME-5668541","TNFR2 non-canonical NF-kB pathway","LinearUp-1",2.61e-06,12,52,438,1,"LinearUp-1"
"160","REACTOME pathway","R-DME-5676590","NIK-->noncanonical NF-kB signaling","LinearUp-1",2.61e-06,12,52,438,1,"LinearUp-1"
"161","SLIM2 GO BP","GO:0007186","G protein-coupled receptor signaling pathway","LinearDown-4",3.03e-06,18,218,259,3,"Complex-11, LinearDown-4, LinearDown-6"
"162","REACTOME pathway","R-DME-382551","Transport of small molecules","LinearDown-6",3.05e-06,81,445,1320,2,"Complex-12, LinearDown-6"
"163","SLIM2 GO MF","GO:0008061","chitin binding","Complex-12",3.06e-06,12,106,219,1,"Complex-12"
"164","DRSC GLAD Gene Group","GLAD:24595","Mitochondrial","Complex-12",3.36e-06,38,973,219,8,"Complex-12, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"165","REACTOME pathway","R-DME-5607764","CLEC7A (Dectin-1) signaling","LinearUp-1",3.51e-06,13,64,438,1,"LinearUp-1"
"166","REACTOME pathway","R-DME-9020702","Interleukin-1 signaling","LinearUp-1",3.51e-06,13,64,438,1,"LinearUp-1"
